"","conference","link"
"1","_ACC_F","https://tf.tfrrs.org/teams/tf/FL_college_f_Florida_State.html"
"2","_ACC_F","https://tf.tfrrs.org/teams/tf/SC_college_f_Clemson.html"
"3","_ACC_F","https://tf.tfrrs.org/teams/tf/VA_college_f_Virginia.html"
"4","_ACC_F","https://tf.tfrrs.org/teams/tf/NC_college_f_Duke.html"
"5","_ACC_F","https://tf.tfrrs.org/teams/tf/NY_college_f_Syracuse.html"
"6","_ACC_F","https://tf.tfrrs.org/teams/tf/GA_college_f_Georgia_Tech.html"
"7","_ACC_F","https://tf.tfrrs.org/teams/tf/FL_college_f_Miami_FL.html"
"8","_ACC_F","https://tf.tfrrs.org/teams/tf/PA_college_f_Pittsburgh.html"
"9","_ACC_F","https://tf.tfrrs.org/teams/tf/KY_college_f_Louisville.html"
"10","_ACC_F","https://tf.tfrrs.org/teams/tf/IN_college_f_Notre_Dame_IN.html"
"11","_ACC_F","https://tf.tfrrs.org/teams/tf/NC_college_f_North_Carolina_St.html"
"12","_ACC_F","https://tf.tfrrs.org/teams/tf/NC_college_f_North_Carolina.html"
"13","_ACC_F","https://tf.tfrrs.org/teams/tf/VA_college_f_Virginia_Tech.html"
"14","_ACC_F","https://tf.tfrrs.org/teams/tf/MA_college_f_Boston_College.html"
"15","_ACC_F","https://tf.tfrrs.org/teams/tf/NC_college_f_Wake_Forest.html"
"16","_ACC_M","https://tf.tfrrs.org/teams/tf/FL_college_m_Florida_State.html"
"17","_ACC_M","https://tf.tfrrs.org/teams/tf/PA_college_m_Pittsburgh.html"
"18","_ACC_M","https://tf.tfrrs.org/teams/tf/SC_college_m_Clemson.html"
"19","_ACC_M","https://tf.tfrrs.org/teams/tf/GA_college_m_Georgia_Tech.html"
"20","_ACC_M","https://tf.tfrrs.org/teams/tf/NY_college_m_Syracuse.html"
"21","_ACC_M","https://tf.tfrrs.org/teams/tf/FL_college_m_Miami_FL.html"
"22","_ACC_M","https://tf.tfrrs.org/teams/tf/NC_college_m_Duke.html"
"23","_ACC_M","https://tf.tfrrs.org/teams/tf/VA_college_m_Virginia.html"
"24","_ACC_M","https://tf.tfrrs.org/teams/tf/VA_college_m_Virginia_Tech.html"
"25","_ACC_M","https://tf.tfrrs.org/teams/tf/NC_college_m_North_Carolina_St.html"
"26","_ACC_M","https://tf.tfrrs.org/teams/tf/KY_college_m_Louisville.html"
"27","_ACC_M","https://tf.tfrrs.org/teams/tf/NC_college_m_North_Carolina.html"
"28","_ACC_M","https://tf.tfrrs.org/teams/tf/IN_college_m_Notre_Dame_IN.html"
"29","_ACC_M","https://tf.tfrrs.org/teams/tf/MA_college_m_Boston_College.html"
"30","_ACC_M","https://tf.tfrrs.org/teams/tf/NC_college_m_Wake_Forest.html"
"31","ASUN_F","https://tf.tfrrs.org/teams/tf/FL_college_f_Jacksonville.html"
"32","ASUN_F","https://tf.tfrrs.org/teams/tf/AR_college_f_Central_Arkansas.html"
"33","ASUN_F","https://tf.tfrrs.org/teams/tf/GA_college_f_Kennesaw_State.html"
